Rank,Order,Family,Species,Common names,GE Score,ED Score,EDGE Score,Conservation Attention,Region,Countries,Relevant Global Programme,IUCN Red List link
118,,,Tarsius sangirensis,"Sangihe Tarsier, Sagihe Isalnd Tarsier",EN,18.54991538,5.0524125,,,,,
119,,,Zyzomys palatalis,Carpentarian Rock Rat,CR,8.770784177,5.051985449,,,,,
120,,,Tarsius pelengensis,"Peleng Tarsier, Peleng Island Tarsier",EN,18.45609446,5.047601903,,,,,
121,,,Mirimiri acrodonta,Fijian Monkey-faced Bat,CR,8.720271719,5.046802295,,,,,
122,,,Mysateles garridoi,Garrido's Hutia,CR,8.714778177,5.046236972,,,,,
123,,,Mysateles meridionalis,"Isla De La Juventud Tree Hutia, Southern Hutia",CR,8.710068821,5.045752092,,,,,
124,,,Macrotis lagotis,"Bilby, Dalgyte, Greater Bilby, Greater Rabbit-eared Bandicoot",VU,37.19442477,5.028983918,,,,,
125,,,Zyzomys pedunculatus,"Central Rock Rat, Central Thick-tailed Rock-rat, Macdonnell Range Rock-rat",CR,8.545409387,5.028649069,,,,,
126,,,Addax nasomaculatus,Addax,CR,8.382123251,5.011394819,,,,,
127,,,Balantiopteryx infusca,Ecuadorian Sac-winged Bat,EN,17.72111431,5.009093536,,,,,
128,,,Petaurus abidi,Northern Glider,CR,8.352299441,5.008210965,,,,,
129,,,Reithrodontomys spectabilis,Cozumel Harvest Mouse,CR,8.250584786,4.997275492,,,,,
130,,,Melomys fraterculus,"Manusela Melomys, Manusela Mosaic-tailed Rat",CR,8.22269266,4.994255763,,,,,
